"harbor_name","geometry"
"Frierfjorden","0103000020E610000001000000060000000000000000802340857588241F804D4000000000008023400000000000804D4000000000000023400000000000804D4000000000000023400000000000A04D4000000000008023400000000000A04D400000000000802340857588241F804D40"
"Karmsundet","0103000020E610000001000000060000007D1E4883803115400000000000B04D4000000000008015400000000000B04D4000000000008015400000000000A04D4000000000000015400000000000A04D4000000000000015400000000000B04D407D1E4883803115400000000000B04D40"
"Karmøy","0103000020E6100000010000000600000007DE7F1AAD9914400000000000B04D4000000000000015400000000000B04D4000000000000015400000000000A04D4000000000008014400000000000A04D4000000000008014400000000000B04D4007DE7F1AAD9914400000000000B04D40"
"Røvær","0103000020E610000001000000060000000000000000801440DF30766792B54D4000000000008014403333333333B34D4033333333333314403333333333B34D4033333333333314403CC159A54FBA4D4000000000008014403CC159A54FBA4D400000000000801440DF30766792B54D40"
"Haugesund","0103000020E6100000010000000600000000000000000015408E67864325B64D4000000000000015400000000000C04D4000000000008015400000000000C04D4000000000008015400000000000B04D4000000000000015400000000000B04D4000000000000015408E67864325B64D40"
"Sletta","0103000020E610000001000000060000000000000000001540F9A7AF4225B64D4000000000000015400000000000B04D4000000000008014400000000000B04D4000000000008014400000000000C04D4000000000000015400000000000C04D400000000000001540F9A7AF4225B64D40"
"Espevær","0103000020E61000000100000006000000AE47E17A14AE1440B0993226B3CC4D40AE47E17A14AE1440DF7BC91011C94D400000000000801440DF7BC91011C94D4000000000008014403C0B8C063ACD4D40AE47E17A14AE14403C0B8C063ACD4D40AE47E17A14AE1440B0993226B3CC4D40"
"Kuleseidkanalen","0103000020E610000001000000060000009851877027F4144091C140C692DF4D40000000000000154091C140C692DF4D400000000000001540AE47E17A14DE4D402D7D433C6DE01440AE47E17A14DE4D402D7D433C6DE0144091C140C692DF4D409851877027F4144091C140C692DF4D40"
"Bergen","0106000020E610000006000000010300000001000000060000005495117239B114400000000000304E4000000000000015400000000000304E40000000000000154013AFFC4344244E40E59E09A8CB6D144013AFFC4344244E40E59E09A8CB6D14400000000000304E405495117239B114400000000000304E400103000000010000000600000025389AC8711C1440632667D2D7344E4025389AC8711C1440261EA2F5B2354E406666666666E614409EEE1BE333354E406666666666E61440E848882F78334E405495117239B114400000000000304E4025389AC8711C1440632667D2D7344E400103000000010000000500000025389AC8711C1440A4703D0AD7334E400000000000001440A4703D0AD7334E40000000000000144083C366DBC4354E4025389AC8711C1440632667D2D7344E4025389AC8711C1440A4703D0AD7334E400103000000010000000500000000000000000014407E5C76E338364E4025389AC8711C14407E5C76E338364E4025389AC8711C1440261EA2F5B2354E40000000000000144083C366DBC4354E4000000000000014407E5C76E338364E40010300000001000000050000006666666666E614404AE0C5B1E4374E4000000000000015404AE0C5B1E4374E4000000000000015402F6585C723354E406666666666E614409EEE1BE333354E406666666666E614404AE0C5B1E4374E4001030000000100000005000000000000000000154002FF4A9D36304E406666666666E6144002FF4A9D36304E406666666666E61440E848882F78334E4000000000000015402F6585C723354E40000000000000154002FF4A9D36304E40"
"Bergen","0103000020E61000000100000006000000D14DAC9D723E15404AE0C5B1E4374E406245B2ECEE6E15404AE0C5B1E4374E406245B2ECEE6E15402046088F36304E4000000000000015402046088F36304E4000000000000015404AE0C5B1E4374E40D14DAC9D723E15404AE0C5B1E4374E40"
"Vengjaneset","0107000020E6100000020000000106000000020000000103000000010000000700000012E5C6142DF916409C9F98BDF0084E406C1C565D2CF916409B98E436D0094E400000000000001740C5179238D0094E400000000000001740A57E839B31084E400000000000001740B54FC76306084E40E36025D52DF91640B54FC76306084E4012E5C6142DF916409C9F98BDF0084E4001030000000100000007000000A6D01ED4EA581640F5B06197F21A4E408C023395346D1640F5B06197F21A4E40FA4910093A6D16409B98E436D0194E409F99C85EF65E164024061C2BD0194E40A6D01ED4EA581640FBA01D26D0194E40A6D01ED4EA581640FD9FC37C791A4E40A6D01ED4EA581640F5B06197F21A4E40010500000003000000010200000002000000A6D01ED4EA581640FD9FC37C791A4E409F99C85EF65E164024061C2BD0194E400102000000020000009F99C85EF65E164024061C2BD0194E4012E5C6142DF916409C9F98BDF0084E4001020000000200000012E5C6142DF916409C9F98BDF0084E400000000000001740A57E839B31084E40"
"Lygrespollen","0103000020E61000000100000006000000BB873A62E3001740B61F3A4E1B084E400000000000001740B61F3A4E1B084E4000000000000017409B98E436D0094E40108D9367031D17409B98E436D0094E40108D9367031D1740B61F3A4E1B084E40BB873A62E3001740B61F3A4E1B084E40"
"Sagvåg","0107000020E61000000200000001060000000200000001030000000100000005000000D7A3703D0A971540EB64BA21D7E34D40D7A3703D0A971540C1F6DDBE58E24D402F127FB9BB7B1540C1F6DDBE58E24D402F127FB9BB7B1540EB64BA21D7E34D40D7A3703D0A971540EB64BA21D7E34D40010300000001000000070000009251AFA59100154039C3C36AE2E94D402F0F3E39AF26154039C3C36AE2E94D402F0F3E39AF261540D014956824E84D40B00843209E181540D014956824E84D409251AFA591001540D014956824E84D409251AFA5910015409AB0FD648CE94D409251AFA59100154039C3C36AE2E94D400105000000020000000102000000020000009251AFA5910015409AB0FD648CE94D40B00843209E181540D014956824E84D40010200000002000000B00843209E181540D014956824E84D402F127FB9BB7B1540C1F6DDBE58E24D40"
"Mosterhamn","0103000020E610000001000000060000002AF1CA3F4484154066E954432CD94D402AF1CA3F4484154030359DF8C5DA4D4002953B7D4E9B154030359DF8C5DA4D4002953B7D4E9B1540DE7C7E73DAD84D402AF1CA3F44841540DE7C7E73DAD84D402AF1CA3F4484154066E954432CD94D40"
"Oslo - Spro","0103000020E6100000010000000600000072022E23508824400000000000E04D4000000000008024400000000000E04D4000000000008024400000000000004E4000000000000025400000000000004E4000000000000025400000000000E04D4072022E23508824400000000000E04D40"
"Oslo-Filtvedt; Oslo havn","0103000020E61000000100000006000000C4904193692525400000000000E04D4000000000000025400000000000E04D4000000000000025400000000000004E4000000000008025400000000000004E4000000000008025400000000000E04D40C4904193692525400000000000E04D40"
"Oslo - Spro; Oslo havn","0103000020E610000001000000060000000000000000802540ED3C3B2A48F44D4000000000008025400000000000004E4000000000000026400000000000004E4000000000000026400000000000E04D4000000000008025400000000000E04D400000000000802540ED3C3B2A48F44D40"
"Langangsfjorden","0103000020E61000000100000006000000E256410C74A523400000000000804D4000000000008023400000000000804D4000000000008023400000000000A04D4000000000000024400000000000A04D4000000000000024400000000000804D40E256410C74A523400000000000804D40"
"Drammen","0106000020E6100000060000000103000000010000000A0000007A8B4A963B8124409A99999999D94D407EEF254344A424409A99999999D94D407EEF254344A42440BF7503D713DA4D4087A0D88747E124405917B7D100D04D4035F33F5475CE24405917B7D100D04D4035F33F5475CE2440D6A13FCB34CE4D4062445AA6878724401E16056043C84D40314E3228898324405500E72043C84D40602EF36789832440039FD5B8EDC74D407A8B4A963B8124409A99999999D94D400103000000010000000500000000000000008024409A99999999D94D4000000000008024400000000000E04D40D21C59F9658024400000000000E04D407A8B4A963B8124409A99999999D94D4000000000008024409A99999999D94D40010300000001000000040000007EEF254344A424400000000000E04D407EEF254344A42440BF7503D713DA4D40D21C59F9658024400000000000E04D407EEF254344A424400000000000E04D4001030000000100000004000000B5A679C729E224405917B7D100D04D4062A81EC429E2244084BBB376DBCF4D4087A0D88747E124405917B7D100D04D40B5A679C729E224405917B7D100D04D4001030000000100000005000000B5A679C729E22440D27E5AFBF1CB4D4035F33F5475CE2440D27E5AFBF1CB4D4035F33F5475CE2440D6A13FCB34CE4D4062A81EC429E2244084BBB376DBCF4D40B5A679C729E22440D27E5AFBF1CB4D4001030000000100000006000000D77ED70C158C2440EF7CF5A743C84D40B4A8F4B8148C244043609B4308C74D401F3F65468983244043609B4308C74D40602EF36789832440039FD5B8EDC74D4062445AA6878724401E16056043C84D40D77ED70C158C2440EF7CF5A743C84D40"
"Drammen","0103000020E610000001000000060000000000000000802440716770A5E8DC4D4000000000008024409A99999999D94D4033333333335324409A99999999D94D4033333333335324400000000000E04D4000000000008024400000000000E04D400000000000802440716770A5E8DC4D40"
