,total,average,median,max,min,quantile 25%,quantile 50%,quantile 75%
initial_rows,5339615793.0,13449913.83627204,13433568.0,31593836.0,9064616.0,11090954.0,,15372159.0
filtered_rows,2981044561.0,7508928.365239294,7370149.0,9524507.0,6029364.0,7148215.0,,7692112.0
trajectory_counts,663077.0,1670.2191435768261,1563.0,2492.0,1250.0,1459.0,,1821.0
trajectory_removed_due_to_draught,89772.0,226.12594458438286,216.0,325.0,171.0,198.0,,249.0
rows_per_trajectory,598476417629.0,4402.274735269241,3622.0,43491.0,1.0,701.0,,7868.0
trajectory_counts_after_split,822918.0,2072.8413098236774,2025.0,3013.0,990.0,1839.0,,2282.0
trajectory_removed_due_to_draught_after_split,25.0,0.06297229219143577,0.0,5.0,0.0,0.0,,0.0
rows_per_trajectory_after_split,304912955057.0,1795.3085632002958,632.0,39924.0,2.0,149.0,,2443.0
distance_travelled_m_per_trajectory_after_split,16928113222091.684,99671.68046619753,29300.149832411324,36893632.36137736,0.05940973727001501,7038.855452832639,,129019.62041671941
csv_files,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
